Title,Description+UB:AF,Keywords,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services,servicesnotoffered,ServiceAlert,AddressDetails,MainAlert,TimeAlert,Wheelchair,Type,Last updated,Initial,Holiday,URL
Bundall Transport and Main Roads Customer Service Centre,"30 Upton St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, safety inspections, passenger transport, vehicles, taxis, limousines, buses, heavy vehicles, light vehicles","driver licence, boat licence, registration, industry licensing, pre-registration inspections, motorcycles, motorbikes",,30 Upton Street,Bundall,4217,,PO Box 8550,Gold Coast Mail Centre,9726,-28.009176,153.409815,13 23 80,(07) 5583 7405,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass (except trailers and caravans)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,b,,/transport/contacts/centres/view?title=Bundall Transport and Main Roads Customer Service Centre
Bundall Motor Vehicle Inspection Centre,"30 Upton St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, motorcycles, motorbikes","passenger transport, vehicles, taxis, limousines, buses, heavy vehicles and light vehicles safety inspections",,30 Upton Street,Bundall,4217,,PO Box 8555,GCMC,9726,-28.009176,153.409815,13 23 80,(07) 5504 1351,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass
*  safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Approved Inspection Stations ",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Motor Vehicle Inspection Centre,,b,,/transport/contacts/centres/view?title=Bundall Motor Vehicle Inspection Centre
Burketown Police Station,Gregory Street:driver licence; boat licence;  practical driver tests; pre-registration inspections,driver licence; boat licence;  practical driver tests; pre-registration inspections,,Gregory Street,Burketown,4830,,Gregory Street,Burketown,4830,-17.743184,139.547332,(07) 4745 5120,(07) 4745 5173,,,,9:00,17:00,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*    practical driver testing for all licence classes up to heavy rigid
*  pre-registration inspections of light vehicles only",,, Next to the Burketown (Nowland Engineering) Service Station,,,,Queensland Police Station,,b,,/transport/contacts/centres/view?title=Burketown Police Station
Burleigh Waters Transport and Main Roads Customer Service Centre,"1 Santa Maria Crt and Piper St Services: driver license, boat license, registration, industry licensing, pre-registration inspections","driver licence, boat licence, registration, industry licensing, pre-registration inspections","Shop 1, Burleigh Home Space",1 Santa Maria Court,Burleigh Waters,4220,,PO Box 2805,Burleigh BC,4220,-28.07721236,153.4231087,13 23 80,(07) 5535 4954,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass (except trailers and caravans) 
*  practical driver testing (not including motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,b,,/transport/contacts/centres/view?title=Burleigh Waters Transport and Main Roads Customer Service Centre
Caboolture Transport and Main Roads Customer Service Centre,"Cnr Aerodrome Rd and Piper St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,Corner Aerodrome Road and Piper Street,Caboolture,4510,,PO Box 1325,Caboolture,4510,-27.083271,152.981196,13 23 80,(07) 5431 6350,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services 
*  pre-registration inspections for all vehicles 
*  practical driver testing for all licence classes (not including motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,c,,/transport/contacts/centres/view?title=Caboolture Transport and Main Roads Customer Service Centre
Cairns Bentley Park Transport and Main Roads Customer Service Centre,"Shop 18 Bentley Village Shopping Ctr Services: driver license, boat license, registration, industry licensing, pre-registration inspections, motorcycles, motorbikes","driver licence, boat licence, registration, industry licensing, pre-registration inspections, motorcycles, motorbikes",Shop 18 Bentley Village Shopping Centre,96 McLaughlin Road,Bentley Park,4869,,PO Box 6542,Cairns,4870,-17.00563066,145.7421593,13 23 80,(07) 4045 3419,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass ","####Services not offered at this location####
* pre-registration inspections for trailers
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,c,,/transport/contacts/centres/view?title=Cairns Bentley Park Transport and Main Roads Customer Service Centre
Cairns Transport and Main Roads Customer Service Centre,"Kenny St & Owen Cl Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,82-86 Kenny Street (corner of Kenny Street & Owen Close),Cairns,4870,,PO Box 6542,Cairns,4870,-16.934595,145.771229,13 23 80,(07) 4031 1151,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles types
*  practical driver testing for all licence classes",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,c,,/transport/contacts/centres/view?title=Cairns Transport and Main Roads Customer Service Centre
Cairns Indigenous Driver Licensing Unit,"Shop 18 Bentley Village Shopping Ctr Services: learner driver licence test, practical driver testing, driver licence replacements and renewals","learner driver licence test, practical driver testing, driver licence replacements and renewals",Shop 18 Bentley Village Shopping Centre,96 McLaughlin Road,Bentley Park,4869,,PO Box 6542,Cairns,4870,-17.00564997,145.7421632,1800 130 886,(07) 4045 3349,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* learner driver licence testing
*  practical driver testing for cars and trucks
*  driver licence replacements and renewals
*  Adult Proof of Age cards","####Services not offered at this location####
* industry licence applications 
* industry licence issuing 
* pre-registration inspections",,,,,,Indigenous Driver Licence Centre,,c,,/transport/contacts/centres/view?title=Cairns Indigenous Driver Licensing Unit
Cairns Motor Vehicle Inspection Centre,"82-86 Kenny St Services: safety inspections, passenger transport, taxis, limousines, buses, heavy vehicles","safety inspections, passenger transport, taxis, limousines, buses, heavy vehicles",,82-86 Kenny Street,Portsmith,4870,,PO Box 6542,Cairns,4870,-16.933999,145.771312,13 23 90,(07) 4052 8632,,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass ","####Services not offered at this location#### 
 * safety inspections for light vehicles and heavy vehicles under 16 tonne GVM - these are performed at an Approved Inspection Station ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Motor Vehicle Inspection Centre,,c,,/transport/contacts/centres/view?title=Cairns Motor Vehicle Inspection Centre
Calen Police Station,Bruce Highway:driver licence; registration; practical driver tests; pre-registration inspections,driver licence; registration; practical driver tests; pre-registration inspections,,Bruce Highway,Calen,4798,,Bruce Highway,Calen,4798,-20.898936,148.773701,(07) 4958 8751,(07) 4958 8496,,8:00,14:00,,,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  registration of vehicles and vessels
*  practical driver testing (not including motorcycles)
*  pre-registration inspections ","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,,Queensland Police Station,,c,,/transport/contacts/centres/view?title=Calen Police Station
Caloundra Transport and Main Roads Customer Service Centre,"54 Canberra Tce Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,54 Canberra Terrace,Caloundra,4551,,PO Box 565,Caloundra,4551,-26.804243,153.135868,13 23 80,(07) 5413 2150,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for vehicles less than 4.5 tonne gross vehicle mass (pre-registration inspections are restricted to a maximum height of 2.15m)
*  practical driver testing for cars only (practical driver testing restricted to a maximum height of 2.15m)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. 
* pre-registration inspections for trailers",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** no,Customer Service Centre,,c,,/transport/contacts/centres/view?title=Caloundra Transport and Main Roads Customer Service Centre
Camooweal Police Station,40 Nowranie Street:,,,40 Nowranie Street,Camooweal,4828,,40 Nowranie Street,Camooweal,4828,-19.919645,138.120495,(07) 4748 2148,(07) 4748 2118,,,,,,,,,,,,,,,,,"####Services offered at this location
* driver licensing
* practical driver testing
* registration of vehicles and vessels
",,,,,Please contact the centre to make sure it is staffed before travelling here. Services available by appointment only.,,Queensland Police Station,,c,,/transport/contacts/centres/view?title=Camooweal Police Station
Cannonvale QGAP,"11 Island Dr Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, QGAP","driver licence, boat licence, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, QGAP",,11 Island Drive,Cannonvale,4802,,PO Box 215,Cannonvale,4802,-20.2781,148.700941,13 74 68 or 13 23 90 (for practical driving test bookings),(07) 4948 2899,,9:00-12:00,13:00-16:30,9:00-12:00,13:00-16:30,9:30-12:00,13:00-16:30,9:00-12:00,13:00-16:30,9:00-12:00,13:00-16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for light vehicles in fine weather only
*  practical driver testing for all licence classes (not including motorcycles)","####Services not offered at this location#### 
* pre-registration inspections for trailers
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),,c,,/transport/contacts/centres/view?title=Cannonvale QGAP
